Epochs,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
10,0.9905074687063365,0.9976181224972447,0.9974175000570594,0.9904173331394504,0.9812774701752384,0.9999127526537734,0.03447994589805603,0.035028401762247086
20,0.9903368424084448,0.9975750384374017,0.9973734253203363,0.9902428384469972,0.9808866320534033,0.9999709175512578,0.03452669456601143,0.03559776768088341
30,0.9905642709998991,0.997668211380135,0.9974705185969315,0.9904754980369347,0.9814169901804065,0.9998836702050312,0.03429430350661278,0.03593401610851288
40,0.9905080156135221,0.9975871894625539,0.9956419294131953,0.9904173331394504,0.9812225329604475,0.9999709175512578,0.034156639128923416,0.03529233857989311
50,0.9906221639608753,0.997662386009604,0.997463968832062,0.990533662934419,0.9814465947365416,0.9999709175512578,0.034550607204437256,0.03512305021286011
60,0.9906507051586787,0.9975250472431206,0.9973061032808285,0.9905627453831612,0.9815026261703585,0.9999709175512578,0.03371088206768036,0.03479032963514328
70,0.9906647074077277,0.9976181943892948,0.9974153683899696,0.9905772866075323,0.9815581375431786,0.9999418351025157,0.033782944083213806,0.034672871232032776
80,0.9904937489197441,0.9976175845755522,0.9974147685538931,0.9904027919150793,0.981194532431584,0.9999709175512578,0.03416581079363823,0.034989841282367706
90,0.9903365640796693,0.9976552661592766,0.997455338895747,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.03408176079392433,0.03645116090774536
100,0.9906073527716953,0.9975528969546507,0.9973384722668345,0.990519121710048,0.9814735519968029,0.9999127526537734,0.03407115861773491,0.03479301556944847
